aba	546,阿巴 1050,阿爸 1050,阿爸 2786,阿坝
aierduoan	1121,埃尔多安
aierfute	1121,埃尔福特
aierjin	1121,埃尔金
aierlan	642,爱尔兰
aierlanggen	1276,埃尔朗根
aierlanhai	642,爱尔兰海
aierlanren	642,爱尔兰人
aierlanyu	642,爱尔兰语
aiermitaji	1291,艾尔米塔奇
aiermitashi	1291,艾尔米塔什
aiernandesi	1121,埃尔南德斯
aierpasuo	1519,埃尔帕索
aierri	887,爱耳日
aifa	2012,挨罚
aifeiertieta	1418,埃菲尔铁塔 1418,艾菲尔铁塔
aifeng	1549,爱疯
aifu	1720,爱抚 3837,嗳腐
aifuboli	1121,埃夫伯里
aifudun	1257,埃弗顿
aifutunsuan	3837,嗳腐吞酸
aigang	927,爱港
aigangjingye	1795,爱岗敬业
aiganpinzhong	2027,矮杆品种
aigao	1751,哀告
aigaobinfu	1751,哀告宾服
aige	1751,哀歌 2012,挨个
aigeer	2012,挨个儿 2027,矮个儿
aigeersong	1121,埃格尔松
aigu	3152,隘谷
aigua	2027,矮瓜
aiguo	394,爱国
aiguorujia	394,爱国如家
aiguozhe	394,爱国者 394,爱国者
aiguozhuyi	394,爱国主义
aihamaide	1698,艾哈迈德
aihao	394,爱好 1751,哀号 3241,哀嚎 4305,艾蒿
aihaozhe	394,爱好者
aihe	574,爱河
aihehua	1427,爱荷华
aiheiren	2027,矮黑人
aihenjiaojia	1295,爱恨交加
aihenjiaozhi	1295,爱恨交织
aihongbianye	1924,哀鸿遍野
aihu	529,爱护 1291,艾虎 2012,挨户
aihua	2027,矮化
aihuaijia	2012,挨户挨家
aihui	1623,爱辉
aihuiqu	1623,爱辉区
aihuntiaoyue	5936,瑷珲条约
aiji	1121,埃及 2012,挨挤
aijia	1751,哀家 2012,挨家
aijiaaihu	2012,挨家挨户
aijiadiqundao	1440,埃加迪群岛
aijianer	2012,挨肩儿
aijiang	394,爱将
aijiangnanfu	1751,哀江南赋
aijiaokuhao	4305,矮脚苦蒿
aijiaoluosan	2202,矮脚罗伞
aijidie	2173,挨饥抵饿
aijidou	1793,埃及豆
aijie	2091,唉姐 33085,娭姐
aijiguwuxue	1121,埃及古物学
aijin	2012,挨近 3661,哀矜
aijing	394,爱经
aijingzhushagen	2713,矮茎朱砂根
aijiu	1291,艾酒 4024,艾灸
aijiyeying	1927,埃及夜鹰
aiju	1121,埃居
aijuan	1291,艾卷
aikei	31067,挨剋
aikesiguang	394,爱克斯光
aikesishexian	703,爱克斯射线
aiketuo	1121,埃克托
aikou	1437,碍口 3152,隘口
aikoushixiu	2048,碍口识羞
aiku	1751,哀哭
aikugui	1210,爱哭鬼
aikuqiechi	1773,哀哭切齿
ailao	1291,艾老
ailate	1121,埃拉特
ailei	3329,埃蕾
ailian	1464,爱恋 1599,爱怜 1751,哀怜
ailibuli	394,爱理不理
ailin	2027,矮林
ailinna	2400,埃琳娜
ailishegong	1344,爱丽舍宫
ailisi	1026,爱丽丝 1878,爱莉丝
ailisidao	1121,埃利斯岛
ailisiquan	1641,爱丽丝泉 1641,爱丽斯泉
ailiugenna	684,爱留根纳
ailiwen	1121,埃里温
ailixin	394,爱立信
ailu	2056,矮鹿 3152,隘路
ailuoxianke	3622,爱罗先珂
ailv	2661,爱侣
aima	1248,爱玛 2012,挨骂
aimaniuaier	1767,艾玛纽埃尔
aimashi	3042,爱马仕
aimei	394,爱美 3802,暧昧
aimeiguanxi	3802,暧昧关系
aimeijiang	1291,艾美奖
aimen	2012,挨门
aimenaihu	2012,挨门挨户
aimianzi	394,爱面子 1437,碍面子
aimier	1121,埃米尔 1785,艾弥尔
aimin	394,爱民 2968,哀悯
aiming	1751,哀鸣
aiminqu	394,爱民区
aiminruzi	394,爱民如子
aimoliweier	955,爱莫利维尔
aimonengzhu	955,爱莫能助
aimosheng	1031,爱默生
aimu	1990,爱慕
aimuxurong	1990,爱慕虚荣
ainan	1437,碍难
ainancongming	1437,碍难从命
ainaxiang	1291,艾纳香
aini	4089,爱昵
ainieasi	2343,埃涅阿斯
ainieasiji	2343,埃涅阿斯纪
ainu	1402,爱奴
aipang	2027,矮胖
aipi	2012,挨批
aipian	1291,艾片
aipiaoliang	1568,爱漂亮
aiping	1751,哀平
aipusheng	630,爱普生
aipuxilong	1509,艾扑西龙
aiqi	1751,哀启 2316,哀戚 2449,哀泣 3837,嗳气
aiqifuchou	3837,嗳气腐臭
aiqin	1701,爱琴
aiqing	394,爱情 1291,艾青
aiqingpian	455,爱情片
aiqingxiju	909,爱情喜剧
aiqinhai	1701,爱琴海
aiqiouni	3837,嗳气呕逆
aiqisuanfu	3837,嗳气酸腐
aiqitunsuan	3837,嗳气吞酸
aiqiu	1751,哀求
aiqixun	1697,艾奇逊
aiqiyi	786,爱奇艺
aiquan	1751,哀劝 2649,爱犬
airan	3460,蔼然
airen	394,爱人 2027,矮人
airenruji	394,爱人如己
airong	1751,哀荣 2678,艾绒
airuibadi	1429,艾瑞巴蒂
aisaiebiya	1121,埃塞俄比亚
aisaikesi	1291,艾赛克斯
aisake	1291,艾萨克
aisen	1121,埃森
aisenhaoweier	1513,艾森豪威尔
aisennahe	1346,埃森纳赫
aisenzhe	1121,埃森哲
aishang	394,爱上 1751,哀伤
aishangde	1751,哀伤地
aishaniya	848,爱沙尼亚
aisheishei	648,爱谁谁
aishen	394,爱神
aishengtanqi	2091,唉声叹气
aishi	1291,艾实 1437,碍事 1751,哀失
aishijian	2012,挨时间
aishouaijiao	1437,碍手碍脚
aishu	2027,矮树
aishuo	2012,挨说
aisi	1751,哀思
aisibing	427,爱死病
aisijimo	1162,爱斯基摩
aisijimoren	1162,爱斯基摩人
aisikuduo	1121,埃斯库多
aisikuluosi	1121,埃斯库罗斯
aisitehaqi	1121,埃斯特哈齐
aisitelang	1276,埃斯特朗
aisuan	3837,嗳酸
aita	1121,埃塔 1291,艾塔
aitan	1751,哀叹 2369,艾炭
aite	1291,艾特
aitenahuoshan	1121,埃特纳火山
aiti	2444,挨踢
aitiao	1291,艾条
aitiaojiu	4024,艾条灸
aitiaoquezhuojiu	4024,艾条雀啄灸
aitiaowenhejiu	4024,艾条温和灸
aitong	1751,哀痛 4516,哀恸
aitouzi	2012,挨头子
aiwan	2798,哀婉
aiwanting	2002,爱晚亭
aiweihui	669,爱卫会
aiweikou	1957,碍胃口
aiweiwei	1291,艾未未
aiweiyang	760,爱维养
aiwen	394,爱问 1121,埃文
aiwenmaosi	2339,埃文茅斯
aiwensi	1121,埃文斯
aiwowo	1962,爱窝窝 1962,艾窝窝
aiwujiniao	1263,爱屋及鸟
aiwujiwu	1244,爱屋及乌
aixi	1512,爱惜
aixian	394,爱现
aixiao	2027,矮小
aixiaojinghan	3073,矮小精悍
aixibao	1799,癌细胞
aixin	394,爱心
aixing	2027,矮星
aixingxing	2027,矮行星
aixinjueluo	394,爱新觉罗
aixinsan	2202,爱心伞
aixu	1607,埃叙
aiya	2294,哎呀
aiyan	1437,碍眼 2012,挨延 2104,哀艳
aiyangmei	2027,矮杨梅
aiye	1291,艾叶
aiyetan	2369,艾叶炭
aiyeyou	1291,艾叶油
aiyi	394,爱意
aiyinhuowen	1442,埃因霍温
aiyinsitan	1017,爱因斯坦
aiyo	2524,哎哟 3964,哎唷
aiyou	2027,矮油 5390,哎呦 5410,艾鼬
aiyouteng	1635,爱优腾
aiyu	1001,爱玉
aiyuan	1751,哀怨
aiyubing	1070,爱玉冰
aiyudong	2127,爱玉冻
aiyue	619,爱乐 1751,哀乐
aiyueyuetuan	619,爱乐乐团
aiyuzi	1001,爱玉子
aizai	2080,挨宰
aizeng	2617,爱憎
aizengfenming	2617,爱憎分明
aizhe	2012,挨着
aizheng	1799,癌症 2012,挨整
aizhi	394,爱知
aizhiruming	394,爱之如命
aizhixian	877,爱知县
aizhou	721,爱州
aizhu	5424,艾炷
aizhuangsu	2027,矮壮素
aizhujiu	5424,艾炷灸
aizi	394,爱子 1751,哀子 1931,爱滋 1931,艾滋 2027,矮子
aizibing	1781,艾兹病 1931,爱滋病 1931,艾滋病
aizibingbingdu	1931,艾滋病病毒
aizibingdu	1931,爱滋病毒 1931,艾滋病毒
aizibinghuanzhe	1931,艾滋病患者
aizibingkangti	1931,艾滋病抗体
aizou	3540,挨揍
ajiadier	1440,阿加迪尔
ajiawei	520,阿加维
ajimide	575,阿基米德
ajinkuer	1097,阿金库尔
aka	717,阿卡
akabeila	1133,阿卡贝拉
akadi	717,阿卡提
akadiya	1440,阿卡迪亚
akaliusi	2962,阿喀琉斯
akapuerke	717,阿卡普尔科
akela	471,阿克拉
akelun	970,阿克伦
akelunhe	970,阿克伦河
akense	860,阿肯色
akensedaxue	860,阿肯色大学
akensezhou	860,阿肯色州
akesaiqin	2147,阿克赛钦
akesaixian	1080,阿克塞县
akesu	590,阿克苏
akesudiqu	590,阿克苏地区
akesuhe	590,阿克苏河
akesushi	590,阿克苏市
aketao	1601,阿克陶
aketaoxian	1601,阿克陶县
akongjiagua	1827,阿空加瓜
akongjiaguashan	1827,阿空加瓜山
akuina	2608,阿奎纳
ala	471,阿拉 471,阿拉
alabama	546,阿拉巴马
alabamazhou	721,阿拉巴马州
alabo	821,阿拉伯
alabobandao	821,阿拉伯半岛
alabohai	821,阿拉伯海
alabohuixiang	5388,阿拉伯茴香
alabojiao	2170,阿拉伯胶
alaboren	821,阿拉伯人
alaboshuzi	821,阿拉伯数字
alabotang	1746,阿拉伯糖
alabowen	821,阿拉伯文
alaboyu	821,阿拉伯语
alading	1168,阿拉丁
alaer	471,阿拉尔
alaershi	471,阿拉尔市
alafate	471,阿拉法特
alafulahai	1257,阿拉弗拉海
alaganshanmai	1594,阿拉干山脉
alai	471,阿来
alaiman	1224,阿莱曼
alaiqibingchuan	1196,阿莱奇冰川
alamiyu	575,阿拉米语
alamo	1162,阿拉摩
alamutu	694,阿拉木图
alan	642,阿兰
alanre	651,阿兰若
alanwen	642,阿兰文
alashan	749,阿拉善
alashanmeng	1163,阿拉善盟
alashanyouqi	1407,阿拉善右旗
alashanzuoqi	1407,阿拉善左旗
alasi	471,阿拉斯
alasijia	471,阿拉斯加
alasijiazhou	721,阿拉斯加州
alatasi	1030,阿拉塔斯
alawa	1195,阿拉瓦
aletai	1318,阿勒泰
aletaidiqu	1318,阿勒泰地区
aletaishi	1318,阿勒泰市
ali	471,阿里
alian	1837,阿莲
alianqiu	3403,阿联酋
alianqiuhangkong	3403,阿联酋航空
alianqiuzhangguo	3403,阿联酋长国
alianqu	1837,阿莲区
alibaba	546,阿里巴巴 546,阿里巴巴
alidiqu	471,阿里地区
aliefu	500,阿列夫
aliekexisi	500,阿列克西斯
alikante	2446,阿利坎特
alilang	1457,阿里郎
alishan	471,阿里山
alishanxiang	922,阿里山乡
alisituofen	1890,阿里斯托芬
aliteng	2200,阿利藤
aliushenqundao	1110,阿留申群岛
aliyana	1584,阿丽亚娜
aluba	898,阿鲁巴 898,阿鲁巴 1711,阿卢巴
alukeerqin	3025,阿鲁科尔沁
alun	970,阿伦
alundaer	970,阿伦达尔
aluofei	1418,阿洛菲
aluohan	711,阿罗汉
aluoyue	471,阿罗约
ama	750,阿妈 4920,阿嬷
aman	1224,阿曼
amangna	2251,阿芒拿
amani	1248,阿玛尼
amanwan	1224,阿曼湾
amaoagou	1673,阿猫阿狗
amaxun	1697,阿马逊
amei	1185,阿妹
ameiensi	888,阿美恩斯
ameiniya	654,阿美尼亚
ameizu	549,阿美族
amen	471,阿们 471,阿门
ameng	1039,阿蒙 1163,阿盟
amiba	575,阿米巴
amibabing	575,阿米巴病
amibaliji	4107,阿米巴痢疾
amibayuanchong	1287,阿米巴原虫
aminadabu	684,阿米纳达布
aming	471,阿明
amoniya	1162,阿摩尼亚
amoniyashui	1162,阿摩尼亚水
amosishu	1162,阿摩司书
amoxilin	955,阿莫西林
amuerhe	1683,阿穆尔河
amuerzhou	1683,阿穆尔州
amuhala	1061,阿姆哈拉
amuhe	1061,阿姆河
amulin	694,阿木林
amusitedan	1280,阿姆斯特丹
amusitelang	1276,阿姆斯特朗
anading	6243,氨吖啶
anai	1278,阿奶
anan	232,安安 829,暗暗 4759,阿囡
anban	930,案板
anbang	1363,安邦
anbangdingguo	1363,安邦定国
anbao	266,安保 1521,暗堡
anbei	1392,安倍
anbeijinsan	1645,安倍晋三
anbeiyuyan	1705,暗背雨燕
anbian	971,岸边
anbianqingmeisu	5318,氨苄青霉素
anbiao	971,岸标
anbingbudong	573,按兵不动
anbingshujia	1106,案兵束甲
anbu	6024,安瓿
anbudangche	361,安步当车
anbujiuban	884,按步就班 884,按部就班
anbuping	6024,安瓿瓶
ancang	907,暗藏
ancha	573,按察 1495,安插
anchamingfang	1037,暗察明访
anchang	3578,暗娼
anchao	1302,暗潮
ancheng	518,案称
anchu	829,暗处
anchuang	3093,暗疮
anchun	4741,鹌鹑
anchunguduoer	9646,鹌鹑馉饳儿
anci	232,安次
anciqu	265,安次区
anda	232,安打 289,安达
andai	1310,暗袋
andalvehu	918,安大略湖
andalvesheng	704,安大略省
andamandao	1224,安达曼岛
andamanhai	1224,安达曼海
andamanqundao	1224,安达曼群岛
andan	1293,暗淡 2881,黯淡
andao	829,暗道
andaoer	232,安道尔
andaoercheng	413,安道尔城
andashi	289,安达市 3042,安达仕
andehai	256,安德海
andelabang	1363,安得拉邦
andelei	3324,安德肋
andelie	802,安德烈
andelu	898,安德鲁
andi	543,案底 829,暗地 1119,安抵
andian	3168,鞍点
andili	829,暗地里
anding	232,安定 232,安定 6359,暗疔
andinghua	232,安定化
andingmen	232,安定门
andingqi	441,安定器
andingqu	265,安定区
andingshijian	232,安定时间
andisi	232,安地斯 232,安第斯
andisishan	259,安第斯山
andisishanmai	1594,安第斯山脉
andongni	654,安东尼
andu	4235,案牍
anduan	5608,暗煅
anduchencang	1882,暗渡陈仓
andun	794,安顿
anduo	232,安多
anduofen	1890,安多芬
anduoxian	877,安多县
ane	33189,媕婀
anfa	518,案发
anfang	291,安放 1037,暗访
anfaxianchang	518,案发现场
anfeitaming	283,安非他命 283,安非他明
anfen	232,安分
anfenshouji	796,安分守己
anfu	683,安福 1720,安抚
anfunaizui	1720,安抚奶嘴
anfuxian	877,安福县
anfuxueji	1589,暗腹雪鸡
anfuxupin	3214,安富恤贫
anfuxuqiong	3214,安富恤穷
anfuzunrong	1134,安富尊荣
angang	1952,昂昂
angangxi	2194,昂昂溪
angangxiqu	2194,昂昂溪区
angcang	1952,昂藏
angchuanzhou	1952,昂船洲
angeer	325,安格尔
angela	804,安哥拉
angesi	325,安格斯
angesiniu	1018,安格斯牛
angfen	1952,昂奋
anggelu	3410,盎格鲁
anggui	1952,昂贵
angli	1952,昂利
angnake	1952,昂纳克
angongniao	1263,暗公鸟
angran	1952,昂然 3410,盎然
angren	1952,昂仁
angrenxian	1952,昂仁县
angshan	1952,昂山
angshansuji	1952,昂山素季 2683,昂山素姬
angshou	1952,昂首
angshoukuobu	1952,昂首阔步
angshoutingxiong	1952,昂首挺胸
angsi	3410,盎司 3410,盎斯
anguangniao	1263,暗光鸟
anguiding	573,按规定
anguila	3537,安圭拉
anguo	232,安国
anguoshi	254,安国市
angyang	1952,昂扬
angzang	3194,肮脏
anhai	829,暗害
anhan	937,暗含
anhao	232,安好 829,暗号
anhaoxin	232,安好心
anhe	829,暗合 829,暗河 2067,暗盒
anhei	829,暗黑
anheipohuaishen	832,暗黑破坏神
anhua	232,安化
anhuaer	829,暗花儿
anhuaxian	877,安化县
anhui	2277,安徽
anhuidaxue	2277,安徽大学
anhuisheng	2277,安徽省
anhunmisa	1785,安魂弥撒
anilin	654,阿尼林
anji	829,暗记 856,安吉 1273,暗疾 1279,按季 3028,氨基
anjia	232,安家
anjialiye	232,安家立业
anjialuohu	801,安家落户
anjian	518,案件 731,安检 1471,按键 1496,暗箭
anjianer	829,暗间儿
anjianyin	1471,按键音
anjiao	2952,暗礁
anjiaxiubing	1106,案甲休兵
anjibensuan	3686,氨基苯酸
anjibilin	3028,氨基比林
anjie	1666,按揭
anjielunkeji	1789,安捷伦科技
anjier	829,暗记儿 856,安吉尔
anjing	722,安静 829,暗经 1431,暗井
anjiputang	3028,氨基葡糖
anjiputaotang	3028,氨基葡萄糖
anjisuan	3028,氨基酸 3433,胺基酸
anjixian	877,安吉县
anjixing	856,安吉星
anju	678,安居 678,安居
anjuan	1016,案卷
anjugongcheng	678,安居工程
anjuleye	678,安居乐业
anjuqu	678,安居区
ankala	717,安卡拉
ankang	900,安康 900,安康
ankangdiqu	900,安康地区
ankangshi	900,安康市
anke	232,安可
ankelazhi	324,安克拉治
ankeleiqi	686,安克雷奇
ankou	1625,按扣 1625,暗扣
ankui	1738,暗亏
anla	324,安拉
anlaofenpei	738,按劳分配
anle	619,安乐 619,安乐
anlequ	619,安乐区
anlesi	619,安乐死
anlewo	1962,安乐窝
anli	232,安利 232,安利 547,案例 573,按理 573,按立
anlian	356,安联 1464,暗恋 3927,谙练
anlifa	547,案例法
anlihui	232,安理会
anlishuo	573,按理说
anliu	829,暗流
anlixianzhiguo	1484,按立宪治国
anlong	696,安龙
anlongxian	877,安龙县
anlu	675,安陆 4451,暗鹭
anlun	3560,氨纶
anlushan	2381,安禄山
anlushi	675,安陆市
anlvbeiluci	5133,暗绿背鸬鹚
anlvliuying	2902,暗绿柳莺
anlvxiuyanniao	2434,暗绿绣眼鸟
anma	1449,暗骂 3168,鞍马
anmai	1594,按脉
anmalaodun	3168,鞍马劳顿
anman	1224,安曼
anmei	2376,暗昧
anmi	4058,安谧
anmian	1986,安眠
anmianjiaoying	5911,暗冕鹪莺
anmiantong	3905,安眠酮
anmianyao	1986,安眠药
anmingaoshi	425,安民告示
anmo	1162,按摩
anmobang	2288,按摩棒
anmole	3022,庵摩勒
anmoluojiaguo	3022,庵摩落迦果
anmoshi	1162,按摩师
anna	684,按纳 1584,安娜 3841,按捺
annabolisi	684,安纳波利斯
annabuzhu	3841,按捺不住
annaijin	1165,安乃近
annan	295,安难 307,安南
annanqu	307,安南区
annanshanmai	1594,安南山脉
annanzi	307,安南子
annatuoliya	799,安纳托利亚
annengliang	829,暗能量
anni	2124,安妮
anning	1019,安宁 1019,安宁
anningbingfang	1019,安宁病房
anningpian	1019,安宁片
anningqu	1019,安宁区
anningshi	1019,安宁市
anniu	2685,按钮
anpai	682,安排
anpei	1152,安培
anpeibiao	1152,安培表
anpeiji	1152,安培计
anpeixiaoshi	1152,安培小时
anping	232,安平 1703,安瓶
anpingqu	265,安平区
anpingxian	877,安平县
anpinledao	1359,安贫乐道
anqi	573,按期 829,暗器 3028,氨气
anqianmahou	3168,鞍前马后
anqiao	3720,按跷
anqier	3138,安琪儿
anqin	2806,安寝
anqinban	884,安亲班
anqing	518,案情 1269,安庆
anqingdiqu	1269,安庆地区
anqingshi	1269,安庆市
anqiu	1929,安丘
anqiushi	1929,安丘市
anqu	2315,暗渠
anquan	232,安全
anquanche	3596,安全掣
anquancuoshi	1148,安全措施
anquandai	342,安全带
anquandeng	1115,安全灯
anquanfa	2671,安全阀
anquangan	243,安全感
anquanju	483,安全局
anquankaolv	901,安全考虑
anquanke	1937,安全壳
anquanlishihui	232,安全理事会
anquanmao	1750,安全帽
anquanqi	253,安全期
anquanqinang	2041,安全气囊
anquantao	1091,安全套
anquanwang	605,安全网
anquanwenti	232,安全问题
anquanwushi	232,安全无事
anquanwuyang	3728,安全无恙
anquanwuyu	2936,安全无虞
anquanxing	232,安全性
anquanyanzhao	1978,安全眼罩
anran	232,安然 971,岸然 2881,黯然
anranshise	2881,黯然失色
anranwuyang	3728,安然无恙
anranxiaohun	2881,黯然销魂
anren	232,安人 1360,安仁
anrenxian	1360,安仁县
anri	573,按日
anrupanshi	3640,安如磐石
anrutaishan	1318,安如泰山
ansai	1080,安塞
ansaixian	1080,安塞县
anseyaque	2397,暗色鸦雀
ansha	829,暗杀 848,暗沙
anshan	3168,鞍山
anshang	829,暗伤 971,岸上
anshanshi	3168,鞍山市
anshanyan	1423,安山岩
anshao	2383,暗哨
anshaoer	2383,暗哨儿
anshe	302,安设
anshen	232,安神 232,安身
ansheng	232,安生
anshenliming	258,安身立命
anshi	573,按时 663,安适 829,暗室 829,暗示 3927,谙事
anshijianxianhou	573,按时间先后
anshiliu	2644,安石榴
anshiying	829,暗适应
anshizhiluan	765,安史之乱
anshou	518,案首
anshouli	926,按手礼
anshu	1459,安舒 3927,谙熟 5278,桉树
anshui	3028,氨水
anshun	938,安顺
anshundiqu	938,安顺地区
anshunshi	938,安顺市
anshuo	573,按说
ansongqiubo	1151,暗送秋波
ansuan	829,暗算
ansuo	1558,暗锁
antai	1318,安泰
antaisui	772,安太岁
antan	917,暗探 2062,暗滩
antang	3022,庵堂
anteng	2200,安藤
anteweipu	669,安特卫普
antian	573,按天
antibilin	1079,安替比林
antifa	232,安提法
antiguadao	1827,安提瓜岛
antou	518,案头
antu	476,安图
antusheng	1060,安徒生
antusuoji	3835,按图索骥
antuxian	877,安图县
antuzhongqian	1630,安土重迁
anuo	969,阿诺
anwaer	1195,安瓦尔
anwang	829,暗网
anwei	826,安危 1632,安慰
anweiji	1632,安慰剂
anweijiang	1632,安慰奖
anwen	518,案文 1055,安稳 2940,按蚊
anwutianri	829,暗无天日
anxi	232,安西 428,安息 829,暗喜 2194,安溪
anxia	573,按下
anxian	877,安县 1529,安闲 1529,安闲
anxiang	829,暗想 829,暗香 922,安乡 1439,安详 1453,暗箱 1674,安祥
anxiangcaozuo	1453,暗箱操作
anxiangshuying	1897,暗香疏影
anxianguangpu	2274,暗线光谱
anxiangxian	922,安乡县
anxianshushi	1529,安闲舒适
anxiansuiyi	1529,安闲随意
anxianzide	1529,安闲自得
anxianzizai	1529,安闲自在
anxiao	829,暗笑
anxiaosu	3028,氨哮素
anxie	1828,安歇
anxiguo	428,安息国
anxihuixiang	5388,安息茴香
anxin	232,安心 232,安新
anxingyun	829,暗星云
anxinxian	877,安新县
anxiongzhuque	2331,暗胸朱雀
anxiri	428,安息日
anxixian	877,安西县 2194,安溪县
anxixiang	776,安息香
anxixiangke	776,安息香科
anxixiangshu	776,安息香属
anxixiangzhi	2206,安息香脂
anxu	573,按需
anxuchuban	810,按需出版
anxufenpei	738,按需分配
